Verse,Text,Stage
Gen 49:17,yəhî  dān  nāḥāš  ʕălê  derek  šəpîpōn  ʕălê  ʔōraḥ  ha nōšēk  ʕiqqəbê  sûs  wa yippōl  rōkəbô  ʔāḥôr,Archaic Biblical Hebrew
Gen 49:18,li yšûʕātəkā  qiwwîtî  yəhwāh,Archaic Biblical Hebrew
Gen 49:19,gād  gədûd  yəgûdennû  wə hû  yāgud  ʕāqēb,Archaic Biblical Hebrew
Gen 49:20,mē ʔāšēr  šəmēnā  laḥmô  wə hû  yittēn  maʕădannê  melek,Archaic Biblical Hebrew
Gen 49:21,naptālî  ʔayyālā  šəluḥā  ha nōtēn  ʔimrê  šāper,Archaic Biblical Hebrew
Gen 49:22,bēn  pōrāt  yôsēp  bēn  pōrāt  ʕălê  ʕāyin  bānôt  ṣāʕădā  ʕălê  šûr,Archaic Biblical Hebrew
Gen 49:23,wa yəmārăruhû  wā rōbbû  wa yiśṭəmuhû  baʕălê  ḥiṣṣîm,Archaic Biblical Hebrew
Gen 49:24,wa tēšeb  bə ʔêtān  qaštô  wa yāpōzzû  zərōʕê  yādāʸw  mi ydê  ʔăbîr  yaʕăqōb  mi šām  rōʕê  ʔeben  yiśrāʔēl,Archaic Biblical Hebrew
Gen 49:25,mē ʔēl  ʔābîkā  wə yaʕzərekkā  wə ʔēt  šadday  wi ybārəkekkā  birəkōt  šāmayim  mē ʕāl  birəkōt  təhôm  rōbeṣet  tāḥat  birəkōt  šādayim  wā rāḥam,Archaic Biblical Hebrew
Gen 49:26,birəkōt  ʔābîkā  gābərû  ʕal  birəkōt  hôray  ʕad  taʔăwat  gibʕōt  ʕôlām  tihyên  lə rōš  yôsēp  û lə qodqōd  nəzîr  ʔeḥāʸw,Archaic Biblical Hebrew
Gen 49:27,binyāmîn  zəʔēb  yiṭrāp  ba  bōqer  yōkal  ʕad  wə lā  ʕereb  yəḥallēq  šālāl,Archaic Biblical Hebrew
Exod 15:1,ʔāz  yāšîr  mōšê  û bənê  yiśrāʔēl  ʔet  ha šîrā  ha zōt  la yhwāh  wa yōmərû  lē ʔmōr  ʔāšîrā  la yhwāh  kî  gāʔō  gāʔā  sûs  wə rōkəbô  rāmā  ba  yom,Archaic Biblical Hebrew
Exod 15:2,ʕozzî  wə zimrāt  yāh  wa yəhî  lî  li yšûʕā  zê  ʔēlî  wə ʔanwēhû  ʔĕlōhê  ʔābî  wa ʔărōməmenhû,Archaic Biblical Hebrew
Exod 15:3,yəhwāh  ʔîš  milḥāmā  yəhwāh  šəmô,Archaic Biblical Hebrew
Exod 15:4,markəbōt  parʕō  wə ḥêlô  yārā  ba  yom  û mibḥar  šālišāʸw  ṭubbəʕû  bə yam  sûp,Archaic Biblical Hebrew
Exod 15:5,təhōmōt  yəkasyumû  yārədû  bi məṣôlōt  kəmô  ʔāben,Archaic Biblical Hebrew
Exod 15:6,yəmînəkā  yəhwāh  nedārî  ba  kōaḥ  yəmînəkā  yəhwāh  tirʕaṣ  ʔôyēb,Archaic Biblical Hebrew
Exod 15:7,û bə rōb  gəʔônəkā  tahărōs  qāmêkā  təšallaḥ  ḥărōnəkā  yōkəlēmô  ka  qaš,Archaic Biblical Hebrew
Exod 15:8,û bə rûaḥ  ʔappêkā  neʕermû  mayim  niṣṣəbû  kəmô  nēd  nōzəlîm  qāpəʔû  təhōmōt  bə leb  yom,Archaic Biblical Hebrew
Exod 15:9,ʔāmar  ʔôyēb  ʔerdōp  ʔaśśîg  ʔăḥallēq  šālāl  timlāʔēmô  napšî  ʔārîq  ḥarbî  tôrîšēmô  yādî,Archaic Biblical Hebrew
Exod 15:10,nāšaptā  bə rûḥăkā  kissāmô  yom  ṣālălû  ka  ʕôperet  bə mayim  ʔaddîrîm,Archaic Biblical Hebrew
Exod 15:11,mî  kāmōkā  bā  ʔēlim  yəhwāh  mî  kāmōkā  nedār  ba  qōdeš  nôrā  təhillōt  ʕōśē  pele,Archaic Biblical Hebrew
Exod 15:12,nāṭîtā  yəmînəkā  tiblāʕēmô  ʔāreṣ,Archaic Biblical Hebrew
Exod 15:13,nāḥîtā  bə ḥasdəkā  ʕam  zû  gāʔāləttā  nēhaltā  bə ʕozzəkā  ʔel  nəwē  qodšekā,Archaic Biblical Hebrew
Exod 15:14,šāməʕû  ʕammîm  yirgāzûn  ḥîl  ʔāḥaz  yōšəbê  pəlāšet,Archaic Biblical Hebrew
Exod 15:15,ʔāz  nibhălû  ʔallûpê  ʔĕdôm  ʔêlê  môʔāb  yōḥăzēmô  rāʕad  nāmōgû  kōl  yōšəbê  kənāʕan,Archaic Biblical Hebrew
Exod 15:16,tippōl  ʕălêhem  ʔêmātā  wā paḥad  bi gədōl  zərôʕăkā  yiddəmû  kā  ʔāben  ʕad  yaʕăbōr  ʕamməkā  yəhwāh  ʕad  yaʕăbōr  ʕam  zû  qānîtā,Archaic Biblical Hebrew
Exod 15:17,təbiʔēmô  wə tiṭṭāʕēmô  bə har  naḥălātəkā  mākôn  lə šibtəkā  pāʕaltā  yəhwāh  miqqədāš  ʔădōnāy  kônənû  yādêkā,Archaic Biblical Hebrew
Exod 15:18,yəhwāh  yimlōk  lə ʕōlām  wā ʕed,Archaic Biblical Hebrew
Num 23:7,wa yiśśā  məšālô  wa yōmar  min  ʔărām  yanḥēnî  bālāq  melek  môʔāb  mē harrê  qedem  ləkā  ʔārā  lî  yaʕăqōb  û ləkā  zōʕămā  yiśrāʔēl,Archaic Biblical Hebrew
Num 23:8,mā  ʔeqqōb  lō  qabbō  ʔēl  û mā  ʔezʕōm  lō  zāʕam  yəhwāh,Archaic Biblical Hebrew
Num 23:9,kî  mē rōš  ṣurîm  ʔerʔennû  û mi gəbāʕôt  ʔăšûrennû  hen  ʕām  lə bādād  yiškōn  û ba  gôyim  lō  yitḥaššāb,Archaic Biblical Hebrew
Num 23:10,mî  mānā  ʕăpar  yaʕăqōb  û mispār  ʔet  rōbaʕ  yiśrāʔēl  tāmōt  napšî  môt  yəšārîm  û təhî  ʔaḥărîtî  kāmōhû,Archaic Biblical Hebrew
Num 23:18,wa yiśśā  məšālô  wa yōmar  qûm  bālāq  û šămāʕ  haʔăzînā  ʕāday  bənô  ṣippōr,Archaic Biblical Hebrew
Num 23:19,lō  ʔîš  ʔēl  wi ykazzēb  û ben  ʔādām  wə yitneḥām  ha hû  ʔāmar  wə lō  yaʕăśê  wə dibber  wə lō  yəqîmennā,Archaic Biblical Hebrew
Num 23:20,hinnē  bārēk  lāqāḥəttî  û bērēk  wə lō  ʔăšîbennā,Archaic Biblical Hebrew
Num 23:21,lō  hibbîṭ  ʔāwen  bə yaʕăqōb  wə lō  rāʔā  ʕāmāl  bə yiśrāʔēl  yəhwāh  ʔĕlōhāʸw  ʕimmô  û tərûʕat  melek  bô,Archaic Biblical Hebrew
Num 23:22,ʔēl  môṣîʔām  mi miṣrāyim  kə tôʕăpōt  rəʔēm  lô,Archaic Biblical Hebrew
Num 23:23,kî  lō  naḥaš  bə yaʕăqōb  wə lō  qesem  bə yiśrāʔēl  kā  ʕēt  yēʔāmēr  lə yaʕăqōb  û lə yiśrāʔēl  mah  pāʕal  ʔēl,Archaic Biblical Hebrew
Num 23:24,hen  ʕām  kə lābî  yāqûm  wə ka ʔărî  yitnaśśā  lō  yiškab  ʕad  yōkal  ṭerep  wə dam  ḥălālîm  yištê,Archaic Biblical Hebrew
Num 24:3,wa yiśśā  məšālô  wa yōmar  nəʔum  bilʕām  bənô  bəʕōr  û nəʔum  ha geber  šətum  hā ʕāyin,Archaic Biblical Hebrew
Num 24:4,nəʔum  šōmēaʕ  ʔimrê  ʔēl  ʔăšer  maḥăzē  šadday  yeḥĕzê  nōpēl  û gəlûy  ʕênāyim,Archaic Biblical Hebrew
Num 24:5,mah  ṭōbû  ʔōholêkā  yaʕăqōb  miškənōtêkā  yiśrāʔēl,Archaic Biblical Hebrew
Num 24:6,ki nəḥālîm  niṭṭāyû  kə gannōt  ʕălê  nāhār  ka ʔăhālîm  nāṭaʕ  yəhwāh  ka ʔărāzîm  ʕălê  māyim,Archaic Biblical Hebrew
Num 24:7,yizzal  mayim  mi dāləyāw  wə zarʕô  bə mayim  rabbîm  wə yārōm  mē ʔăgag  malkô  wə tinnaśśē  maləkutô,Archaic Biblical Hebrew
Num 24:8,ʔēl  môṣîʔô  mi miṣrayim  kə tôʕăpōt  rəʔēm  lô  yōkal  gôyim  ṣārāʸw  wə ʕaṣmōtêhem  yəgārēm  wə ḥiṣṣāʸw  yimḥāṣ,Archaic Biblical Hebrew
Num 24:9,kāraʕ  šākab  ka ʔărî  û kə lābî  mî  yəqîmennû  məbārăkêkā  bārûk  wə ʔōrərêkā  ʔārûr,Archaic Biblical Hebrew
Num 24:15,wa yiśśā  məšālô  wa yōmar  nəʔum  bilʕām  bənô  bəʕōr  û nəʔum  ha geber  šətum  hā ʕāyin,Archaic Biblical Hebrew
Num 24:16,nəʔum  šōmēaʕ  ʔimrê  ʔēl  wə yōdēaʕ  daʕat  ʕelyôn  maḥăzē  šadday  yeḥĕzê  nōpēl  û gəlûy  ʕênāyim,Archaic Biblical Hebrew
Num 24:17,ʔerʔennû  wə lō  ʕattā  ʔăšûrennû  wə lō  qārôb  dārak  kôkāb  mi yaʕăqōb  wə qām  šēbeṭ  mi yiśrāʔēl  û māḥaṣ  paʔătê  môʔāb  wə qarqar  kol  bənê  šēt,Archaic Biblical Hebrew
Num 24:18,wə hāyā  ʔĕdôm  yərēšā  wə hāyā  yərēšā  śēʕîr  ʔōyəbāʸw  wə yiśrāʔēl  ʕōśê  ḥāyil,Archaic Biblical Hebrew
Num 24:19,wə yērd  mi yaʕăqōb  wə heʔĕbîd  śārîd  mē ʕîr,Archaic Biblical Hebrew
Num 24:20,wa yar  ʔet  ʕămālēq  wa yiśśā  məšālô  wa yōmar  rēšît  gôyim  ʕămālēq  wə ʔaḥărîtô  ʕădê  ʔōbēd,Archaic Biblical Hebrew
Num 24:21,wa yar  ʔet  ha qênî  wa yiśśā  məšālô  wa yōmar  ʔêtān  môšābekā  wə śîm  ba  selaʕ  qinnekā,Archaic Biblical Hebrew
Num 24:22,kî  ʔim  yihyê  lə bāʕēr  qāyin  ʕad  mā  ʔaššûr  tišbekkā,Archaic Biblical Hebrew
Num 24:23,wa yiśśā  məšālô  wa yōmar  ʔôy  mî  yiḥyê  mi śumô  ʔēl,Archaic Biblical Hebrew
Num 24:24,wə ṣîm  mi yad  kittîm  wə ʕinnû  ʔaššûr  wə ʕinnû  ʕēber  wə gam  hû  ʕădê  ʔōbēd,Archaic Biblical Hebrew
Deut 32:1,haʔăzînû  ha šāmayim  wa ʔădabbērā  wə tišmaʕ  hā ʔāreṣ  ʔimrê  pî,Archaic Biblical Hebrew
Deut 32:2,yaʕărōp  ka  māṭār  liqḥî  tizzal  ka  ṭal  ʔimrātî  ki śəʕîrim  ʕălê  deše  wə ki rəbîbîm  ʕălê  ʕēśeb,Archaic Biblical Hebrew
Deut 32:3,kî  šēm  yəhwāh  ʔeqrā  hābû  gōdel  lē ʔlōhênû,Archaic Biblical Hebrew
Deut 32:4,ha ṣûr  tāmîm  poʕᵒlô  kî  kol  dərākāʸw  mišpāṭ  ʔēl  ʔĕmûnā  wə ʔên  ʕāwel  ṣaddîq  wə yāšār  hû,Archaic Biblical Hebrew
Deut 32:5,šiḥēt  lô  lō  bānāʸw  mûmām  dôr  ʕiqqēš  û pətaltōl,Archaic Biblical Hebrew
Deut 32:6,hă  la yəhwāh  tigməlû  zōt  ʕam  nābāl  wə lō  ḥākām  hă lô  hû  ʔābîkā  qānekā  hû  ʕāśəkā  wa yəkōnənekā,Archaic Biblical Hebrew
Deut 32:7,zəkōr  yəmôt  ʕôlām  bînû  šənôt  dôr  wā dôr  šəʔal  ʔābîkā  wə yaggēdəkā  zəqēnêkā  wə yōmərû  lāk,Archaic Biblical Hebrew
Deut 32:8,bə hanḥēl  ʕelyôn  gôyim  bə haprîdô  bənê  ʔādām  yaṣṣēb  gəbulōt  ʕammîm  lə mispar  bənê  yiśrāʔēl,Archaic Biblical Hebrew
Deut 32:9,kî  ḥēleq  yəhôāh  ʕammô  yaʕăqōb  ḥebel  naḥălātô,Archaic Biblical Hebrew
Deut 32:10,yimṣāʔēhû  bə ʔereṣ  midbār  û bə tōhû  yəlēl  yəšimōn  yəsōbəbenhû  yəbônənēhû  yiṣṣərenhû  kə ʔîšôn  ʕênô,Archaic Biblical Hebrew
Deut 32:11,kə nešer  yāʕîr  qinnô  ʕal  gôzālāʸw  yəraḥēp  yiprōś  kənāpāʸw  yiqqāḥēhû  yiśśāʔēhû  ʕal  ʔebrātô,Archaic Biblical Hebrew
Deut 32:12,yəhwāh  bādād  yanḥennû  wə ʔên  ʕimmô  ʔēl  nēkār,Archaic Biblical Hebrew
Deut 32:13,yarkibēhû  ʕal  bāmᵒtê  ʔāreṣ  wa yōkal  tənûbōt  śādāy  wa yēniqēhû  dəbaš  mi selaʕ  wə šemen  mē ḥalmîš  ṣûr,Archaic Biblical Hebrew
Deut 32:14,ḥemʔat  bāqār  wa ḥălēb  ṣōn  ʕim  ḥēleb  kārîm  wə ʔêlîm  bənê  bāšān  wə ʕattûdîm  ʕim  ḥēleb  kilyôt  ḥiṭṭā  wə dam  ʕēnāb  tištê  ḥāmer,Archaic Biblical Hebrew
Deut 32:15,wa yišman  yəšurûn  wa yibʕāṭ  šāmantā  ʕābîtā  kāśîtā  wa yiṭṭōš  ʔĕlôha  ʕāśāhû  wa yənabbēl  ṣûr  yəšuʕātô,Archaic Biblical Hebrew
Deut 32:16,yaqniʔuhû  bə zārîm  bə tôʕēbōt  yakʕîsuhû,Archaic Biblical Hebrew
Deut 32:17,yizbəḥû  la  šēdîm  lō  ʔĕlōha  ʔĕlōhîm  lō  yədāʕûm  ḥădāšîm  mi qārōb  bāʔû  lō  śəʕārûm  ʔăbōtêkem,Archaic Biblical Hebrew
Deut 32:18,ṣûr  yəlādəkā  tešî  wa tiškaḥ  ʔēl  məḥōləlekā,Archaic Biblical Hebrew
Deut 32:19,wa yar  yəhwāh  wa yinʔāṣ  mi kaʕas  bānāʸw  û bənōtāʸw,Archaic Biblical Hebrew
Deut 32:20,wa yōmer  ʔastîrā  pānay  mēhem  ʔerʔê  mā  ʔaḥărîtām  kî  dôr  tahpukōt  hēmmā  bānîm  lō  ʔēmun  bām,Archaic Biblical Hebrew
Deut 32:21,hēm  qinʔûnî  bə lō  ʔēl  kiʕăsûnî  bə hablêhem  wa ʔănî  ʔaqnîʔēm  bə lō  ʕām  bə gôy  nābāl  ʔakʕîsēm,Archaic Biblical Hebrew
Deut 32:22,kî  ʔēš  qādəḥā  bə ʔappî  wa tîqad  ʕad  šəʔôl  taḥtît  wa tōkal  ʔereṣ  wi ybulāh  wa təlahēṭ  môsədê  hārîm,Archaic Biblical Hebrew
Deut 32:23,ʔaspê  ʕālêmô  rāʕôt  ḥiṣṣay  ʔăkallê  bām,Archaic Biblical Hebrew
Deut 32:24,məzê  rāʕāb  û ləḥumê  rešep  wə qeṭeb  mərîrî  wə šen  bəhēmôt  ʔăšallaḥ  bām  ʕim  ḥămat  zōḥălê  ʕāpār,Archaic Biblical Hebrew
Deut 32:25,mi ḥûṣ  təšakkel  ḥereb  û mē ḥădārîm  ʔêmā  gam  bāḥûr  gam  bətûlā  yônēq  ʕim  ʔîš  śêbā,Archaic Biblical Hebrew
Deut 32:26,ʔāmartî  ʔapʔêhem  ʔašbîtā  mē ʔĕnôš  zikrām,Archaic Biblical Hebrew
Deut 32:27,lûlê  kaʕas  ʔôyēb  ʔāgûr  pen  yənakkərû  ṣārêmô  pen  yōmərû  yādênû  rāmā  wə lō  yəhwāh  pāʕal  kol  zōt,Archaic Biblical Hebrew
Deut 32:28,kî  gôy  ʔōbad  ʕēṣôt  hēmmā  wə ʔên  bāhem  təbûnā,Archaic Biblical Hebrew
Deut 32:29,lû  ḥākəmû  yaśkîlû  zōt  yābînû  lə ʔaḥărîtām,Archaic Biblical Hebrew
Deut 32:30,ʔêkā  yirdōp  ʔeḥād  ʔelep  û šənayim  yānîsû  rəbābā  ʔim  lō  kî  ṣûrām  məkārām  wa yhwāh  hisgîrām,Archaic Biblical Hebrew
Deut 32:31,kî  lō  kə ṣûrēnû  ṣûrām  wə ʔōyəbênû  pəlîlîm,Archaic Biblical Hebrew
Deut 32:32,kî  mi gepen  sədōm  gapnām  û mi šadmōt  ʕămōrā  ʕănābēmô  ʕinnəbê  rôš  ʔaškəlōt  mərōrōt  lāmô,Archaic Biblical Hebrew
Deut 32:33,ḥămat  tannînim  yênām  wə rōš  pətānîm  ʔakzār,Archaic Biblical Hebrew
Deut 32:34,hă lō  hû  kāmus  ʕimmādî  ḥātum  bə ʔôṣərōtāy,Archaic Biblical Hebrew
Deut 32:35,lî  nāqām  wə šillēm  lə ʕēt  tāmûṭ  raglām  kî  qārôb  yôm  ʔêdām  wə ḥāš  ʕătidōt  lāmô,Archaic Biblical Hebrew
Deut 32:36,kî  yādîn  yəhwāh  ʕammô  wə ʕal  ʕăbādāʸw  yitneḥām  kî  yirʔê  kî  ʔāzəlat  yād  wə ʔepes  ʕāṣûr  wə ʕāzûb,Archaic Biblical Hebrew
Deut 32:37,wə ʔāmar  ʔê  ʔĕlōhêmô  ṣûr  ḥāsāyû  bô,Archaic Biblical Hebrew
Deut 32:38,ʔăšer  ḥēleb  zəbāḥêmô  yōkēlû  yištû  yên  nəsîkām  yāqûmû  wə yaʕzərukem  yəhî  ʕălêkem  sitrā,Archaic Biblical Hebrew
Deut 32:39,rəʔû  ʕattā  kî  ʔănî  ʔănî  hû  wə ʔên  ʔĕlōhîm  ʕimmādî  ʔănî  ʔāmît  wa ʔăḥayyê  māḥaṣtî  wa ʔănî  ʔerpā  wə ʔên  mi yādî  maṣṣîl,Archaic Biblical Hebrew
Deut 32:40,kî  ʔeśśā  ʔel  šāmayim  yādî  wə ʔāmartî  ḥay  ʔānōkî  lə ʕōlām,Archaic Biblical Hebrew
Deut 32:41,ʔim  šannôtî  bəraq  ḥarbî  wə tōḥēz  bə mišpāṭ  yādî  ʔāšîb  nāqām  lə ṣārāy  wə li məśanʔay  ʔăšallēm,Archaic Biblical Hebrew
Deut 32:42,ʔaškîr  ḥiṣṣay  mi dām  wə ḥarbî  tōkal  bāśār  mi dam  ḥālāl  wə šibyā  mē rōš  parʕôt  ʔôyēb,Archaic Biblical Hebrew
Deut 32:43,harnînû  gôyim  ʕammô  kî  dam  ʕăbādāʸw  yiqqôm  wə nāqām  yāšîb  lə ṣārāʸw  wə kipper  ʔadmātô  ʕammô,Archaic Biblical Hebrew
Deut 33:2,wa yōmar  yəhwāh  mi sînay  bā  wə zāraḥ  mi śēʕîr  lāmô  hôpîaʕ  mē har  pārān  wə ʔātā  mē ribəbōt  qōdeš  mi ymînô  ʔēš  dāt  lāmô,Archaic Biblical Hebrew
Deut 33:3,ʔap  ḥōbēb  ʕammîm  kol  qədōšāʸw  bə yādekā  wə hēm  tukkû  lə raglekā  yiśśā  mi dabbərōtêkā,Archaic Biblical Hebrew
Deut 33:4,tôrā  ṣiwwā  lānû  mōšê  môrāšā  qəhillat  yaʕăqōb,Archaic Biblical Hebrew
Deut 33:5,wa yəhî  bi yšurûn  melek  bə hitʔassēp  rāšê  ʕām  yaḥad  šibṭê  yiśrāʔēl,Archaic Biblical Hebrew
Deut 33:6,yəḥî  rəʔûbēn  wə ʔal  yāmōt  wi yhî  mətāʸw  mispār,Archaic Biblical Hebrew
Deut 33:7,wə zōt  li yhûdā  wa yōmar  šəmaʕ  yəhwāh  qôl  yəhûdā  wə ʔel  ʕammô  təbîʔennû  yādāʸw  rāb  lô  wə ʕēzer  mi ṣārāʸw  tihyê,Archaic Biblical Hebrew
Deut 33:8,û lə lēwî  ʔāmar  tummêkā  wə ʔûrêkā  lə ʔîš  ḥăsîdekā  ʔăšer  nissîtô  bə massā  tərîbēhû  ʕal  mê  mərîbā,Archaic Biblical Hebrew
Deut 33:9,hā ʔōmēr  lə ʔābiʸw  û lə ʔimmô  lō  rəʔîtiʸw  wə ʔet  ʔeḥāʸw  lō  hikkîr  wə ʔet  bānāʸw  lō  yādāʕ  kî  šāmərû  ʔimrātekā  û bərîtəkā  yinṣōrû,Archaic Biblical Hebrew
Deut 33:10,yôrû  mišpāṭêkā  lə yaʕăqōb  wə tôrātəkā  lə yiśrāʔēl  yāśîmû  qəṭôrā  bə ʔappekā  wə kālîl  ʕal  mizbəḥekā,Archaic Biblical Hebrew
Deut 33:11,bārēk  yəhwāh  ḥêlô  û pōʕal  yādāʸw  tirṣê  məḥaṣ  motnayim  qāmāʸw  û məśanʔāʸw  min  yəqûmûn,Archaic Biblical Hebrew
Deut 33:12,lə binyāmin  ʔāmar  yədîd  yəhôāh  yiškōn  lā beṭaḥ  ʕālāʸw  ḥōpēp  ʕālāʸw  kol  ha yôm  û bên  kətêpāʸw  šākēn,Archaic Biblical Hebrew
Deut 33:13,û lə yôsēp  ʔāmar  məbōreket  yəhôāh  ʔarṣô  mi meged  šāmayim  mi ṭāl  û mi təhôm  rōbeṣet  tāḥat,Archaic Biblical Hebrew
Deut 33:14,û mi meged  təbûʔōt  šāmeš  û mi meged  gereš  yərāḥîm,Archaic Biblical Hebrew
Deut 33:15,û mē rōš  harrê  qedem  û mi meged  gibʕôt  ʕôlām,Archaic Biblical Hebrew
Deut 33:16,û mi meged  ʔereṣ  û məlōʔāh  û rəṣôn  šōkənî  sənê  tābôtā  lə rōš  yôsēp  û lə qodqōd  nəzîr  ʔeḥāʸw,Archaic Biblical Hebrew
Deut 33:17,bəkôr  šôrô  hādār  lô  wə qarnê  rəʔēm  qarnāʸw  bāhem  ʕammîm  yənaggaḥ  yaḥdāw  ʔapsê  ʔāreṣ  wə hēm  ribəbôt  ʔeprayim  wə hēm  ʔaləpê  mənaššê,Archaic Biblical Hebrew
Deut 33:18,wə li zəbûlun  ʔāmar  śəmaḥ  zəbûlun  bə ṣētekā  wə yiśśāŝkār  bə ʔōholêkā,Archaic Biblical Hebrew
Deut 33:19,ʕammîm  har  yiqrāʔû  šām  yizbəḥû  zibḥê  ṣedeq  kî  šepaʕ  yammîm  yînāqû  û śəpûnê  ṭəmûnê  ḥôl,Archaic Biblical Hebrew
Deut 33:20,û lə gād  ʔāmar  bārûk  marḥîb  gād  kə lābî  šākēn  wə ṭārap  zərôaʕ  ʔap  qodqōd,Archaic Biblical Hebrew
Deut 33:21,wa yar  rēšît  lô  kî  šām  ḥelqat  məḥōqēq  sāpûn  wa yētē  rāšê  ʕām  ṣidqat  yəhwāh  ʕāśā  û mišpāṭāʸw  ʕim  yiśrāʔēl,Archaic Biblical Hebrew
Deut 33:22,û lə dān  ʔāmar  dān  gûr  ʔaryē  yəzannēq  min  ha bāšān,Archaic Biblical Hebrew
Deut 33:23,û lə naptālî  ʔāmar  naptālî  śəbaʕ  rāṣôn  û mālē  birkat  yəhwāh  yom  wə dārôm  yərāšā,Archaic Biblical Hebrew
Deut 33:24,û lə ʔāšēr  ʔāmar  bārûk  mi bānîm  ʔāšēr  yəhî  rəṣûy  ʔeḥāʸw  wə ṭōbēl  ba  šemen  raglô,Archaic Biblical Hebrew
Deut 33:25,barzel  û nəḥōšet  minʕālêkā  û kə yāmêkā  dābəʔekā,Archaic Biblical Hebrew
Deut 33:26,ʔên  kā  ʔēl  yəšurûn  rōkēb  šāmayim  bə ʕezrekā  û bə gaʔăwātô  šəḥāqîm,Archaic Biblical Hebrew
Deut 33:27,məʕōnā  ʔĕlōhê  qedem  û mi taḥat  zərōʕōt  ʕôlām  wa yəgāreš  mi pānêkā  ʔôyēb  wa yōmer  hašmēd,Archaic Biblical Hebrew
Deut 33:28,wa yiškōn  yiśrāʔēl  beṭaḥ  bādād  ʕên  yaʕăqōb  ʔel  ʔereṣ  dāgān  wə tîrôš  ʔap  šāmāʸw  yaʕarəpû  ṭāl,Archaic Biblical Hebrew
Deut 33:29,ʔašrêkā  yiśrāʔēl  mî  kāmôkā  ʕam  nôšaʕ  ba yhwāh  māgēn  ʕezrekā  wa ʔăšer  ḥereb  gaʔăwātekā  wə yikkāḥăšû  ʔōyəbêkā  lāk  wə ʔattā  ʕal  bāmôtêmô  tidrōk,Archaic Biblical Hebrew
Jud 5:2,bi pərōaʕ  pərāʕôt  bə yiśrāʔēl  bə hitnaddēb  ʕām  bārăkû  yəhwāh,Archaic Biblical Hebrew
Jud 5:3,šimʕû  məlākîm  haʔăzînû  rōzənîm  ʔānōkî  la yhwāh  ʔānōkî  ʔāšîrā  ʔăzammēr  la yhwāh  ʔĕlōhê  yiśrāʔēl,Archaic Biblical Hebrew
Jud 5:4,yəhwāh  bə ṣētəkā  mi śēʕîr  bə ṣaʕdəkā  mi śədē  ʔĕdôm  ʔereṣ  rāʕāšā  gam  šāmayim  nāṭāpû  gam  ʕābîm  nāṭəpû  māyim,Archaic Biblical Hebrew
