Verse,Text
2 Kgs 3:1,wi yhôrām  ben  ʔaḥʔāb  mālak  ʕal  yiśrāʔēl  bə šōmərôn  bi šənat  šəmōnê  ʕeśrē  li yhôšopāṭ  melek  yəhûdā  wa yimlōk  šəttêm  ʕeśrē  šānā
Ps 102:18,pānā  ʔel  təpillat  hā ʕarʕār  wə lō  bāzā  ʔet  təpillātām
Exod 5:12,wa yāpeṣ  hā ʕām  bə kol  ʔereṣ  miṣrāyim  lə qōšēš  qaš  la  teben
1 Chr 5:4,bənê  yôʔēl  šəmaʕyā  bənô  gôg  bənô  šimʕî  bənô
1 Sam 17:19,wə šāʔûl  wə hēmmā  wə kol  ʔîš  yiśrāʔēl  bə ʕēmeq  hā ʔēlā  nilḥāmîm  ʕim  pəlištîm
Lev 3:11,wə hiqṭîrô  ha kōhēn  ha mizbēḥā  leḥem  ʔiššê  la yhwāh
1 Sam 2:16,wa yōmer  ʔēlāʸw  hā ʔîš  qaṭṭēr  yaqṭîrûn  ka  yôm  ha ḥēleb  wə qaḥ  ləkā  ka ʔăšer  təʔawwê  napšekā  wə ʔāmar  lō  kî  ʕattā  tittēn  wə ʔim  lō  lāqaḥtî  bə ḥozqā
Gen 18:23,wa yiggaš  ʔabrāhām  wa yōmar  ha ʔap  tispê  ṣaddîq  ʕim  rāšāʕ
Num 14:41,wa yōmer  mōšê  lāmmā  zê  ʔattem  ʕōbərîm  ʔet  pî  yəhwāh  wə hiw  lō  tiṣlāḥ
Exod 38:5,wa yiṣōq  ʔarbaʕ  ṭabbāʕōt  bə ʔarbaʕ  ha qəṣāwōt  lə mikbar  ha nəḥōšet  bāttîm  la  baddîm
Ps 94:5,ʕamməkā  yəhwāh  yədakkəʔû  wə naḥălātəkā  yəʕannû
Job 18:11,sābîb  biʕătuhû  ballāhôt  we hĕpîṣuhû  lə raglāʸw
Jer 28:14,kî  kō  ʔāmar  yəhwāh  ṣəbāʔôt  ʔĕlōhê  yiśrāʔēl  ʕōl  barzel  nātattî  ʕal  ṣawwar  kol  ha gôyim  hā ʔēllê  la ʕăbōd  ʔet  nəbukadneṣṣar  melek  bābel  wa ʕăbāduhû  wə gam  ʔet  ḥayyat  ha śādê  nātattî  lô
Zech 6:2,ba  merkābā  hā rišōnā  sûsîm  ʔădummîm  û ba  merkābā  ha šēnît  sûsîm  šəḥōrîm
Exod 19:17,wa yôṣē  mōšê  ʔet  hā ʕām  li qərat  hā ʔĕlōhîm  min  ha maḥănê  wa yityaṣṣəbû  bə taḥtît  hā hār
Ps 14:7,mî  yittēn  mi ṣiyyôn  yəšûʕat  yiśrāʔēl  bə šûb  yhwāh  šəbût  ʕammô  yāgēl  yaʕăqōb  yiśmaḥ  yiśrāʔēl
Josh 15:34,wə zānôaḥ  wə ʕên gannîm  tappûaḥ  wə hā ʕênām
2 Kgs 6:1,wa yōmərû  bənê  ha nəbîʔîm  ʔel  ʔĕlîšāʕ  hinnē  nā  ha māqôm  ʔăšer  ʔănaḥnû  yōšəbîm  šām  lə pānêkā  ṣar  mimmennû
Josh 1:10,wa yəṣaw  yəhôšuaʕ  ʔet  šōṭərê  hā ʕām  lē ʔmōr
Deut 11:8,û šəmartem  ʔet  kol  ha miṣwā  ʔăšer  ʔānōkî  məṣawwəkā  ha yôm  ləmaʕan  teḥezqû  û bātem  wi yrištem  ʔet  hā ʔāreṣ  ʔăšer  ʔattem  ʕōbərîm  šāmmā  lə rištāh
Deut 2:10,hā ʔēmîm  lə pānîm  yāšəbû  bāh  ʕam  gādôl  wə rab  wā rām  kā  ʕănāqîm
Gen 29:33,wa tahar  ʕôd  wa tēled  bēn  wa tōmer  kî  šāmaʕ  yəhwāh  kî  śənûʔā  ʔānōkî  wa yitten  lî  gam  ʔet  zê  wa tiqrā  šəmô  šimʕôn
Lev 15:32,zōt  tôrat  ha zāb  wa ʔăšer  tēṣē  mimmennû  šikəbat  zeraʕ  lə ṭāməʔā  bāh
Gen 38:3,wa tahar  wa tēled  bēn  wa yiqrā  ʔet  šəmô  ʕēr
Lev 6:20,kōl  ʔăšer  yiggaʕ  bi bəśārāh  yiqdāš  wa ʔăšer  yizzê  mi dāmāh  ʕal  ha beged  ʔăšer  yizzê  ʕālêhā  təkabbēs  bə māqôm  qādōš
Num 35:4,û migrəšê  he ʕārîm  ʔăšer  tittənû  la  ləwiyyim  mi qîr  hā ʕîr  wā ḥûṣā  ʔelep  ʔammā  sābîb
Exod 26:10,wə ʕāśîtā  ḥămiššîm  lulāʔōt  ʕal  śəpat  ha yərîʕā  hā ʔeḥāt  ha qîṣōnā  ba  ḥōbāret  wa ḥămiššîm  lulāʔōt  ʕal  śəpat  ha yərîʕā  ha ḥōberet  ha šēnît
2 Chr 34:24,kō  ʔāmar  yəhwāh  hinnî  mēbî  rāʕā  ʕal  ha māqôm  ha zê  wə ʕal  yôšəbāʸw  ʔēt  kol  hā ʔālôt  ha kətûbôt  ʕal  ha sēper  ʔăšer  qārəʔû  li pənê  melek  yəhûdā
Gen 50:21,wə ʕattā  ʔal  tîrāʔû  ʔānōkî  ʔăkalkēl  ʔetəkem  wə ʔet  ṭappəkem  wa yənaḥēm  ʔôtām  wa yədabbēr  ʕal  libbām
Deut 23:23,wə kî  teḥdal  li nəddōr  lō  yihyê  bəkā  ḥēṭə
Jer 42:1,wa yiggəšû  kol  śārê  ha ḥăyālîm  wə yôḥānān  ben  qārēaḥ  wi yzanyā  ben  hôšaʕyā  wə kol  hā ʕām  mi qāṭōn  wə ʕad  gādôl
1 Sam 19:6,wa yišmaʕ  šāʔûl  bə qôl  yəhônātān  wa yiššābaʕ  šāʔûl  ḥay  yəhwāh  ʔim  yûmāt
2 Sam 6:5,wə dāwid  wə kol  bêt  yiśrāʔēl  məśaḥăqîm  li pənê  yəhwāh  bə kōl  ʕăṣê  bərôšîm  û bə kinnōrôt  û bi nəbālîm  û bə tuppîm  û bi mənaʕanʕîm  û bə ṣelṣelîm
Deut 22:12,gədilîm  taʕăśê  lāk  ʕal  ʔarbaʕ  kanəpôt  kəsûtəkā  ʔăšer  təkassê  bāh
Ps 5:2,ʔămāray  haʔăzînā  yəhwāh  bînā  hăgîgî
Ezek 33:24,ben  ʔādām  yōšəbê  he ḥᵒrābôt  hā ʔēllê  ʕal  ʔadmat  yiśrāʔēl  ʔōmərîm  lē ʔmōr  ʔeḥād  hāyā  ʔabrāhām  wa yîraš  ʔet  hā ʔāreṣ  wa ʔănaḥnû  rabbîm  lānû  nittənā  hā ʔāreṣ  lə môrāšā
Isa 13:14,wə hāyā  ki ṣəbî  muddāḥ  û kə ṣōn  wə ʔên  məqabbēṣ  ʔîš  ʔel  ʕammô  yipnû  wə ʔîš  ʔel  ʔarṣô  yānûsû
Isa 10:7,wə hû  lō  kēn  yədammê  û ləbābô  lō  kēn  yaḥšōb  kî  lə hašmîd  bi ləbābô  û lə hakrît  gôyim  lō  məʕāṭ
Isa 17:9,ba  yôm  ha hû  yihyû  ʕārê  māʕuzzô  ka ʕăzûbat  ha ḥōreš  wə hā ʔāmîr  ʔăšer  ʕāzəbû  mi pənê  bənê  yiśrāʔēl  wə hāyətā  šəmāmā
Ps 27:2,bi qərōb  ʕālay  mərēʕîm  le ʔĕkōl  ʔet  bəśārî  ṣāray  wə ʔōyəbay  lî  hēmmā  kāšəlû  wə nāpālû
Ps 22:21,haṣṣîlā  mē ḥereb  napšî  mi yad  keleb  yəḥîdātî
1 Kgs 22:5,wa yōmer  yəhôšāpāṭ  ʔel  melek  yiśrāʔēl  dəroš  nā  ka  yôm  ʔet  dəbar  yəhwāh
Dan 11:44,û šəmuʕôt  yəbahăluhû  mi mizrāḥ  û mi ṣāpôn  wə yāṣā  bə ḥēmā  gədōlā  lə hašmîd  û lə haḥărîm  rabbîm
2 Chr 14:5,wa yiben  ʕārê  məṣûrā  bi yhûdā  kî  šāqəṭā  hā ʔāreṣ  wə ʔên  ʕimmô  milḥāmā  ba  šānîm  hā ʔēllê  kî  hēnîaḥ  yəhwāh  lô
Joel 2:17,bên  hā ʔûlām  wə la  mizbēaḥ  yibkû  ha kōhănîm  məšārətê  yəhwāh  wə yōmərû  ḥûsā  yəhwāh  ʕal  ʕammekā  wə ʔal  tittēn  naḥălātəkā  lə ḥerpā  li məšol  bām  gôyim  lāmmā  yōmərû  bā  ʕammîm  ʔayyē  ʔĕlōhêhem
Num 3:47,wə lāqaḥtā  ḥămēšet  ḥămēšet  šəqālîm  la  gulgōlet  bə šeqel  ha qōdeš  tiqqāḥ  ʕeśrîm  gērā  ha šāqel
Num 19:4,wə lāqaḥ  ʔelʕāzār  ha kōhēn  mi dāmāh  bə ʔeṣbāʕô  wə hizzā  ʔel  nōkaḥ  pənê  ʔōhel  môʕēd  mi dāmāh  šebaʕ  pəʕāmîm
Neh 8:6,wa yəbārek  ʕezrā  ʔet  yəhwāh  hā ʔĕlōhîm  ha gādôl  wa yaʕănû  kol  hā ʕām  ʔāmēn  ʔāmēn  bə mōʕal  yədêhem  wa yiqqədû  wa yištaḥăwwu  la yhwāh  ʔappayim  ʔārəṣā
2 Kgs 4:9,wa tōmer  ʔel  ʔîšāh  hinnē  nā  yādaʕtî  kî  ʔîš  ʔĕlōhîm  qādôš  hû  ʕōbēr  ʕālênû  tāmîd
Eccl 7:16,ʔal  təhî  ṣaddîq  harbē  wə ʔal  titḥakkam  yôtēr  lāmmā  tiššômēm
2 Chr 9:22,wa yigdal  ha melek  šəlōmō  mi kōl  maləkê  hā ʔāreṣ  lə ʕōšer  wə ḥokmā
1 Chr 2:31,û bənê  ʔappayim  yišʕî  û bənê  yišʕî  šēšān  û bənê  šēšān  ʔaḥlāy
Zech 8:8,wə hēbētî  ʔōtām  wə šākənû  bə tôk  yərûšālāim  wə hāyû  lî  lə ʕām  wa ʔănî  ʔêyê  lāhem  lē ʔlōhîm  be ʔĕmet  û bi ṣədāqā
Num 3:7,wə šāmərû  ʔet  mišmartô  wə ʔet  mišmeret  kol  hā ʕēdā  li pənê  ʔōhel  môʕēd  la ʕăbōd  ʔet  ʕăbōdat  ha miškān
Jer 37:21,wa yəṣawwê  ha melek  ṣidqiyyāhû  wa yapqidû  ʔet  yirməyāhû  ba ḥăṣar  ha maṭṭārā  wə nātōn  lô  kikkar  leḥem  la  yôm  mi ḥûṣ  hā ʔōpîm  ʕad  tōm  kol  ha leḥem  min  hā ʕîr  wa yēšeb  yirməyāhû  ba ḥăṣar  ha maṭṭārā
Ps 111:2,gədōlîm  maʕăśê  yəhwāh  dərûšîm  lə kol  ḥepṣêhem
Ezek 27:16,ʔărām  sōḥartēk  mē rōb  maʕăśāyik  bə nōpek  ʔargāmān  wə riqmā  û bûṣ  wə rāmōt  wə kadkōd  nātənû  bə ʕizəbônāyik
Lev 7:19,wə ha bāśār  ʔăšer  yiggaʕ  bə kol  ṭāmē  lō  yēʔākēl  bā  ʔēš  yiśśārēp  wə ha bāśār  kol  ṭāhôr  yōkal  bāśār
Lev 25:10,wə qiddaštem  ʔēt  šənat  ha ḥămiššîm  šānā  û qərātem  dərôr  bā  ʔāreṣ  lə kol  yōšəbêhā  yôbēl  hiw  tihyê  lākem  wə šabtem  ʔîš  ʔel  ʔăḥuzzātô  wə ʔîš  ʔel  mišpaḥtô  tāšubû
Josh 14:10,wə ʕattā  hinnē  heḥĕʸā  yəhwāh  ʔôtî  ka ʔăšer  dibbēr  zê  ʔarbāʕîm  wə ḥāmēš  šānā  mē ʔāz  dibber  yəhwāh  ʔet  ha dābār  ha zê  ʔel  mōšê  ʔăšer  hālak  yiśrāʔēl  ba  midbār  wə ʕattā  hinnē  ʔānōkî  ha yôm  ben  ḥāmēš  û šəmônîm  šānā
Ps 107:42,yirʔû  yəšārîm  wə yiśmāḥû  wə kol  ʕawlā  qāpəṣā  pîhā
Jud 19:8,wa yaškēm  ba  bōqer  ba  yôm  ha ḥămîšî  lā leket  wa yōmer  ʔăbî  ha naʕărā  səʕod  nā  ləbābəkā  wə hitmahməhû  ʕad  nəṭôt  ha yôm  wa yōkəlû  šənêhem
Exod 33:12,wa yōmer  mōšê  ʔel  yəhwāh  rəʔē  ʔattā  ʔōmēr  ʔēlay  haʕal  ʔet  hā ʕām  ha zê  wə ʔattā  lō  hôdaʕtanî  ʔēt  ʔăšer  tišlaḥ  ʕimmî  wə ʔattā  ʔāmartā  yədaʕtîkā  bə šēm  wə gam  māṣātā  ḥēn  bə ʕênāy
Ezek 40:42,wə ʔarbāʕā  šulḥānôt  lā  ʕôlā  ʔabnê  gāzît  ʔōrek  ʔammā  ʔaḥat  wā ḥēṣî  wə rōḥab  ʔammā  ʔaḥat  wā ḥēṣî  wə gōbah  ʔammā  ʔeḥāt  ʔălêhem  wə yannîḥû  ʔet  ha kēlîm  ʔăšer  yišḥăṭû  ʔet  hā ʕôlā  bām  wə ha zābaḥ
Jer 37:12,wa yēṣē  yirməyāhû  mi yrûšālaim  lā leket  ʔereṣ  binyāmin  la ḥăliq  mi šām  bə tôk  hā ʕām
Ps 33:19,lə haṣṣîl  mi māwet  napšām  û lə ḥayyôtām  bā  rāʕāb
Isa 31:8,wə nāpal  ʔaššûr  bə ḥereb  lō  ʔîš  wə ḥereb  lō  ʔādām  tōkălennû  wə nās  lô  mi pənê  ḥereb  û baḥûrāʸw  lā mas  yihyû
Jer 52:15,û mi dallôt  hā ʕām  wə ʔet  yeter  hā ʕām  ha nišʔārîm  bā  ʕîr  wə ʔet  ha nōpəlîm  ʔăšer  nāpəlû  ʔel  melek  bābel  wə ʔēt  yeter  hā ʔāmôn  heglā  nəbûzarʔădān  rab  ṭabbāḥîm
1 Sam 15:24,wa yōmer  šāʔûl  ʔel  šəmûʔēl  ḥāṭātî  kî  ʕābartî  ʔet  pî  yəhwāh  wə ʔet  dəbārêkā  kî  yārētî  ʔet  hā ʕām  wā ʔešmaʕ  bə qôlām
1 Sam 29:4,wa yiqṣəpû  ʕālāʸw  śārê  pəlištîm  wa yōmərû  lô  śārê  pəlištîm  hāšēb  ʔet  hā ʔîš  wə yāšōb  ʔel  məqômô  ʔăšer  hipqadtô  šām  wə lō  yērēd  ʕimmānû  ba  milḥāmā  wə lō  yihyê  lānû  lə śāṭān  ba  milḥāmā  û ba mê  yitraṣṣê  zê  ʔel  ʔădōnāʸw  hă lô  bə rāšê  hā ʔănāšîm  hā hēm
Lev 5:12,we hĕbîʔāh  ʔel  ha kōhēn  wə qāmaṣ  ha kōhēn  mimmennā  məlô  qumṣô  ʔet  ʔazkārātā  wə hiqṭîr  ha mizbēḥā  ʕal  ʔiššê  yəhwāh  ḥaṭṭāt  hiw
Exod 38:14,qəlāʕîm  ḥămēš  ʕeśrē  ʔammā  ʔel  ha kātēp  ʕammûdêhem  šəlōšā  wə ʔadnêhem  šəlōšā
Lev 20:16,wə ʔiššā  ʔăšer  tiqrab  ʔel  kol  bəhēmā  lə ribʕā  ʔōtāh  wə hāragtā  ʔet  hā ʔiššā  wə ʔet  ha bəhēmā  môt  yûmātû  dəmêhem  bām
Ps 74:9,ʔôtōtênû  lō  rāʔînû  ʔên  ʕôd  nābî  wə lō  ʔittānû  yōdēaʕ  ʕad  mā
Lev 11:38,wə kî  yuttan  mayim  ʕal  zeraʕ  wə nāpal  mi niblātām  ʕālāʸw  ṭāmē  hû  lākem
Gen 49:20,mē ʔāšēr  šəmēnā  laḥmô  wə hû  yittēn  maʕădannê  melek
Lev 19:21,wə hēbî  ʔet  ʔăšāmô  la yhwāh  ʔel  petaḥ  ʔōhel  môʕēd  ʔêl  ʔāšām
Job 40:26,hă tāśîm  ʔagmôn  bə ʔappô  û bə ḥôaḥ  tiqqôb  leḥĕʸô
Isa 41:22,yaggîšû  wə yaggîdû  lānû  ʔēt  ʔăšer  tiqrênā  hā rišōnôt  mā  hēnnā  haggîdû  wə nāśîmā  libbēnû  wə nēdəʕā  ʔaḥărîtān  ʔô  ha bāʔôt  hašmîʕunû
Jud 1:5,wa yimṣəʔû  ʔet  ʔădōnî bezeq  bə bezeq  wa yillāḥămû  bô  wa yakkû  ʔet  ha kənaʕănî  wə ʔet  ha pərizzî
Neh 12:7,sallû  ʕāmôq  ḥilqiyyā  yədaʕyā  ʔēllê  rāšê  ha kōhănîm  wa ʔăḥêhem  bi ymê  yēšûaʕ
Isa 47:6,qāṣaptî  ʕal  ʕammî  ḥillaltî  naḥălātî  wā ʔettənēm  bə yādēk  lō  śamt  lāhem  raḥămîm  ʕal  zāqēn  hikbadt  ʕullēk  məʔōd
Lev 21:21,kol  ʔîš  ʔăšer  bô  mûm  mi zeraʕ  ʔahărōn  ha kōhēn  lō  yiggaš  lə haqrîb  ʔet  ʔiššê  yəhwāh  mûm  bô  ʔēt  leḥem  ʔĕlōhāʸw  lō  yiggaš  lə haqrîb
Exod 40:3,wə śamtā  šām  ʔēt  ʔărôn  hā ʕēdût  wə sakkōtā  ʕal  hā ʔārōn  ʔet  ha pārōket
1 Sam 25:16,ḥômā  hāyû  ʕālênû  gam  laylā  gam  yômām  kol  yəmê  hĕʸôtēnû  ʕimmām  rōʕîm  ha ṣōn
Prov 4:22,kî  ḥayyîm  hēm  lə mōṣəʔêhem  û lə kol  bəśārô  marpē
Deut 22:25,wə ʔim  ba  śādê  yimṣā  hā ʔîš  ʔet  ha naʕărā  ha məʔōrāśā  wə heḥĕzîq  bāh  hā ʔîš  wə šākab  ʕimmāh  û mēt  hā ʔîš  ʔăšer  šākab  ʕimmāh  lə baddô
Jud 20:30,wa yaʕălû  bənê  yiśrāʔēl  ʔel  bənê  binyāmin  ba  yôm  ha šəlîšî  wa yaʕarəkû  ʔel  ha gibʕā  kə paʕam  bə pāʕam
Lam 3:53,ṣāmətû  ba  bôr  ḥayyāy  wa yaddû  ʔeben  bî
Deut 1:1,ʔēllê  ha dəbārîm  ʔăšer  dibber  mōšê  ʔel  kol  yiśrāʔēl  bə ʕēber  ha yardēn  ba  midbār  bā  ʕărābā  môl  sûp  bên  pārān  û bên  tōpel  wə lābān  wa ḥăṣērōt  wə dî zāhāb
Isa 32:2,wə hāyā  ʔîš  kə maḥăbē  rûaḥ  wə sēter  zārem  kə paləgê  mayim  bə ṣāyôn  kə ṣēl  selaʕ  kābēd  bə ʔereṣ  ʕăyēpā
Job 8:21,ʕad  yəmallē  śəḥôq  pîkā  û śəpātêkā  tərûʕā
Ezek 24:9,lākēn  kō  ʔāmar  ʔădōnāy  yəhwih  ʔôy  ʕîr  ha dāmîm  gam  ʔănî  ʔagdîl  ha mədûrā
1 Kgs 9:3,wa yōmer  yəhwāh  ʔēlāʸw  šāmaʕtî  ʔet  təpillātəkā  wə ʔet  təḥinnātəkā  ʔăšer  hitḥannantā  lə pānay  hiqdaštî  ʔet  ha bayit  ha zê  ʔăšer  bānitā  lā śûm  šəmî  šām  ʕad  ʕôlām  wə hāyû  ʕênay  wə libbî  šām  kol  ha yāmîm
Job 6:7,mēʔănā  li nəggôaʕ  napšî  hēmmā  ki dəwê  laḥmî
Ezek 19:7,wa yēdaʕ  ʔalmənôtāʸw  wə ʕārêhem  heḥĕrîb  wa tēšam  ʔereṣ  û məlōʔāh  mi qôl  šaʔăgātô
2 Sam 2:3,wa ʔănāšāʸw  ʔăšer  ʕimmô  heʕĕlā  dāwid  ʔîš  û bêtô  wa yēšəbû  bə ʕārê  ḥebrôn
Lev 25:1,wa yədabbēr  yəhwāh  ʔel  mōšê  bə har  sînay  lē ʔmōr
Gen 49:1,wa yiqrā  yaʕăqōb  ʔel  bānāʸw  wa yōmer  hēʔāsəpû  wə ʔaggîdā  lākem  ʔēt  ʔăšer  yiqrā  ʔetəkem  bə ʔaḥărît  ha yāmîm
Gen 24:49,wə ʕattā  ʔim  yešəkem  ʕōśîm  ḥesed  we ʔĕmet  ʔet  ʔădōnî  haggîdû  lî  wə ʔim  lō  haggîdû  lî  wə ʔepnê  ʕal  yāmîn  ʔô  ʕal  śəmōl
2 Sam 2:31,wə ʕabədê  dāwid  hikkû  mi binyāmin  û bə ʔanšê  ʔabnēr  šəlōš  mēʔôt  wə šiššîm  ʔîš  mētû
Lev 1:3,ʔim  ʕōlā  qorbānô  min  ha bāqār  zākār  tāmîm  yaqrîbennû  ʔel  petaḥ  ʔōhel  môʕēd  yaqrîb  ʔōtô  li rəṣōnô  li pənê  yəhwāh
Lev 18:23,û bə kol  bəhēmā  lō  tittēn  šəkobtəkā  lə ṭāməʔā  bāh  wə ʔiššā  lō  taʕămōd  li pənê  bəhēmā  lə ribʕāh  tebel  hû
